  0.440000	  0.050825	  0.107107	 -0.003211	  0.012588	  0.040468	  0.169302	  0.415877	  0.489622	  0.812297	  1.509876	  2.683492	  4.798008	  8.406747	  0.028792	  0.029578	  0.007854	 -0.010454	  0.051036	  0.062634	 -0.024345	 -0.062636	 -0.014852	 -0.006731	 -0.009045	  0.008803	 -0.103825
  0.480000	  0.073071	  0.098683	  0.011072	  0.022306	  0.062686	  0.057928	  0.013548	  0.298170	  0.513254	  0.736773	  1.397069	  2.471141	  4.341073	  0.016017	 -0.046608	  0.103007	  0.012606	 -0.054543	  0.023489	  0.039118	  0.027279	 -0.014226	  0.056878	 -0.019874	 -0.015323	 -0.081712
  0.520000	 -0.059588	  0.079123	  0.024272	  0.024328	  0.010251	  0.046252	 -0.046508	 -0.080606	 -0.073516	 -0.045742	 -0.169586	 -0.298078	 -0.580161	  0.029499	  0.025647	 -0.001324	  0.031092	  0.043242	 -0.026322	 -0.086869	 -0.022005	 -0.100718	 -0.046754	 -0.028800	  0.064903	  0.060400
  0.560000	  0.085517	  0.032643	 -0.027591	 -0.040314	 -0.039978	 -0.058399	 -0.143518	 -0.272355	 -0.651243	 -1.039830	 -1.767034	 -3.106430	 -5.442333	  0.080822	  0.089308	 -0.012046	  0.016939	  0.061068	  0.079556	  0.069014	  0.026649	 -0.000539	  0.017335	 -0.021601	  0.010388	 -0.159152
  0.600000	  0.001595	 -0.073517	  0.024258	 -0.079631	 -0.053536	 -0.274097	 -0.255967	 -0.504938	 -0.995750	 -1.820073	 -3.257358	 -5.712376	-10.143663	 -0.020171	 -0.007286	 -0.048431	 -0.062956	  0.032083	 -0.018155	  0.040222	 -0.051151	  0.005526	  0.056057	 -0.055438	  0.087157	 -0.001199
  0.640000	 -0.013120	 -0.029582	 -0.041971	 -0.112683	 -0.113679	 -0.218538	 -0.509817	 -0.872230	 -1.467222	 -2.467276	 -4.455601	 -7.978554	-14.080539	  0.027867	 -0.061201	 -0.031791	  0.101880	 -0.159460	 -0.033165	 -0.058864	 -0.031851	  0.013713	  0.099984	 -0.045533	  0.090454	 -0.079905
  0.680000	 -0.044432	  0.113066	 -0.030020	 -0.034081	 -0.201576	 -0.406793	 -0.585528	 -0.941023	 -1.725458	 -3.055532	 -5.369054	 -9.701590	-17.086077	  0.020922	  0.135203	  0.105888	 -0.019858	 -0.043667	 -0.033009	  0.035131	  0.052274	  0.005045	 -0.066089	  0.180770	  0.039694	  0.004371
  0.720000	  0.025429	 -0.024171	  0.029098	 -0.154347	 -0.269655	 -0.321038	 -0.532230	 -1.121949	 -1.894294	 -3.399231	 -6.002134	-10.809740	-19.298705	 -0.070464	  0.066999	  0.021697	  0.000667	 -0.048640	 -0.034819	  0.006032	  0.016036	  0.040891	 -0.035957	  0.060094	  0.012046	 -0.011874
  0.760000	  0.019031	 -0.002707	 -0.002397	 -0.075585	 -0.235494	 -0.367730	 -0.599990	 -1.163833	 -1.975145	 -3.476373	 -6.313339	-11.188648	-19.995390	  0.097896	  0.052774	  0.004460	 -0.025554	  0.015713	 -0.006279	 -0.033871	 -0.013099	 -0.060694	  0.107705	 -0.013698	  0.032480	 -0.099792
  0.800000	 -0.090580	 -0.030190	 -0.135918	 -0.188371	 -0.195478	 -0.375076	 -0.620168	 -1.070453	 -1.917304	 -3.423233	 -6.211059	-11.093980	-19.464185	  0.028759	 -0.094345	  0.072285	  0.025664	 -0.006975	  0.007356	 -0.009151	  0.010776	 -0.003217	  0.022970	 -0.030178	  0.017682	 -0.010206
  0.840000	 -0.090176	 -0.027801	 -0.085404	 -0.012894	 -0.205110	 -0.249619	 -0.671472	 -0.932171	 -1.828971	 -3.230758	 -5.580862	 -9.954251	-17.946533	 -0.037784	  0.041270	 -0.047701	 -0.025484	  0.006821	 -0.054053	  0.037009	  0.028074	 -0.038708	 -0.031770	 -0.065968	 -0.010944	  0.039554
  0.880000	 -0.107679	 -0.024308	 -0.048734	 -0.063487	 -0.269468	 -0.320891	 -0.484502	 -0.962971	 -1.481881	 -2.647213	 -4.738382	 -8.541734	-15.050911	  0.053144	 -0.050370	 -0.063956	 -0.046917	  0.003107	  0.091393	 -0.082277	  0.039216	  0.021598	 -0.069079	  0.004341	 -0.039748	 -0.012790
  0.920000	  0.004370	  0.015868	 -0.047582	 -0.087861	 -0.119880	 -0.272492	 -0.310809	 -0.575138	 -1.065708	 -2.064315	 -3.637335	 -6.390163	-11.462527	  0.022351	  0.019429	 -0.033630	  0.050472	  0.042321	  0.005487	  0.043016	 -0.021081	 -0.038901	 -0.008702	 -0.058070	  0.014360	  0.148463
  0.960000	 -0.008475	 -0.030059	 -0.018718	 -0.025740	  0.026124	 -0.081880	 -0.241270	 -0.397652	 -0.621312	 -1.236981	 -2.229087	 -3.856965	 -6.920821	 -0.003410	  0.016961	  0.019905	 -0.009035	  0.003727	 -0.005995	 -0.003743	  0.082979	 -0.093965	 -0.032212	 -0.035086	 -0.033330	  0.006453
  1.000000	 -0.085171	  0.031235	 -0.007281	 -0.029886	 -0.027934	 -0.140422	 -0.052019	 -0.172406	 -0.202560	 -0.412415	 -0.628655	 -1.189521	 -2.040650	  0.042734	  0.028074	  0.040367	  0.014140	  0.005150	 -0.044701	 -0.036528	  0.011768	  0.111500	 -0.066239	  0.111102	  0.093422	 -0.021757
  1.040000	 -0.010466	  0.057960	 -0.042684	  0.037156	  0.033214	  0.084479	  0.082236	  0.223484	  0.412245	  0.577457	  0.946521	  1.676332	  3.037010	 -0.037106	 -0.024331	  0.022859	 -0.001632	  0.032063	 -0.003715	 -0.020335	  0.023378	 -0.044835	 -0.018310	 -0.065949	  0.035781	 -0.084539
  1.080000	 -0.097470	 -0.061152	  0.130015	 -0.008413	  0.025292	  0.132127	  0.286370	  0.376273	  0.753369	  1.345246	  2.435455	  4.418227	  7.773461	 -0.056986	 -0.018316	  0.075011	  0.003223	 -0.034831	 -0.022242	 -0.035737	 -0.017442	 -0.062162	 -0.047894	 -0.023036	  0.052869	  0.038810
  1.120000	  0.064104	  0.001642	  0.089524	  0.029269	  0.150570	  0.246634	  0.341890	  0.696716	  1.203795	  2.188156	  3.805778	  6.831914	 12.258790	 -0.064025	  0.094255	 -0.032794	 -0.013476	  0.014409	 -0.091118	  0.038859	  0.009206	  0.056250	  0.041552	 -0.014344	 -0.019845	 -0.028309
  1.160000	 -0.038879	  0.065298	  0.022124	  0.093303	  0.041020	  0.323623	  0.475486	  0.877117	  1.537667	  2.874210	  4.994213	  8.914696	 15.735368	  0.090044	  0.087263	 -0.020176	 -0.008138	 -0.038167	 -0.017299	  0.011441	 -0.040643	 -0.005648	  0.078799	  0.118920	 -0.038314	 -0.106183
  1.200000	  0.042383	  0.089201	  0.100903	  0.057651	  0.205983	  0.296758	  0.564296	  0.999318	  1.828217	  3.315039	  5.773901	 10.250409	 18.241434	 -0.055846	  0.020291	  0.058439	 -0.051833	 -0.048086	 -0.048564	 -0.012186	  0.001158	  0.037159	  0.024378	  0.055703	 -0.000377	  0.075145
  1.240000	  0.020551	  0.037912	 -0.015345	  0.112579	  0.267879	  0.414253	  0.634265	  1.265586	  2.050342	  3.434459	  6.252195	 11.054683	 19.671067	  0.052457	  0.079892	  0.003915	 -0.072015	  0.042893	  0.056957	  0.054902	 -0.012728	  0.041940	 -0.035023	 -0.097627	  0.092613	  0.001049
  1.280000	  0.019688	 -0.007369	 -0.010561	  0.062966	  0.161739	  0.262485	  0.613283	  1.027817	  1.997499	  3.572178	  6.283277	 11.240188	 19.971295	  0.037004	  0.002365	 -0.042211	 -0.052223	 -0.119712	 -0.095967	 -0.003190	 -0.028501	 -0.058704	 -0.027295	 -0.001980	  0.000073	 -0.027803
  1.320000	  0.009146	  0.031598	  0.013987	  0.155138	  0.156219	  0.358535	  0.613034	  1.038123	  1.790942	  3.341318	  5.982339	 10.619819	 18.814412	 -0.055393	  0.003398	  0.050916	 -0.044453	 -0.009371	 -0.065740	 -0.002332	 -0.047575	  0.061099	  0.035488	  0.046563	 -0.008788	  0.025443
  1.360000	  0.132118	  0.010017	  0.094759	  0.168152	  0.150268	  0.250112	  0.538591	  0.963902	  1.687850	  2.975899	  5.162801	  9.332585	 16.623938	 -0.009436	 -0.070578	 -0.086331	 -0.016439	 -0.006032	  0.033001	  0.026177	  0.003349	 -0.007198	 -0.053246	 -0.003350	  0.027571	  0.036265
  1.400000	  0.073905	  0.004099	  0.041090	  0.054598	  0.127584	  0.321718	  0.436940	  0.692174	  1.272879	  2.315968	  4.224818	  7.463975	 13.252929	  0.071479	  0.036396	  0.059309	  0.032801	  0.000196	  0.118377	  0.014801	  0.034001	 -0.053551	 -0.041404	 -0.006472	  0.022351	  0.005813
  1.440000	  0.014807	  0.035093	  0.092990	  0.019160	  0.062663	  0.106878	  0.282670	  0.542146	  0.857071	  1.597992	  2.804206	  5.170271	  9.144085	  0.067665	  0.050076	 -0.002711	  0.059245	 -0.074997	  0.000611	 -0.002753	  0.029433	 -0.056900	 -0.023064	 -0.036899	 -0.012515	  0.023858
  1.480000	  0.055797	 -0.011676	 -0.058322	 -0.018271	  0.116867	  0.095386	  0.174079	  0.258632	  0.462249	  0.782620	  1.429485	  2.536515	  4.469745	 -0.011809	 -0.059758	  0.046828	 -0.051424	 -0.083368	  0.034855	  0.055489	 -0.057963	  0.001475	 -0.105150	  0.018285	 -0.077850	 -0.087736
  1.520000	 -0.023187	  0.032699	  0.002296	  0.044479	 -0.015887	 -0.010479	 -0.079337	  0.004182	  0.080581	 -0.120156	 -0.118919	 -0.257583	 -0.504501	 -0.016340	  0.029706	  0.049923	  0.034959	  0.018389	 -0.001360	  0.071361	  0.054017	  0.019582	 -0.106496	  0.073575	 -0.020418	 -0.008593
  1.560000	  0.022565	  0.005202	 -0.001875	 -0.008286	 -0.111815	 -0.136999	 -0.124001	 -0.269092	 -0.530175	 -0.996174	 -1.689938	 -3.037536	 -5.492151	 -0.108122	  0.041105	 -0.014227	  0.058897	  0.059704	 -0.009599	 -0.055074	  0.019950	 -0.001370	  0.056404	 -0.009036	 -0.048882	 -0.006813
  1.600000	  0.021769	 -0.081310	 -0.015952	 -0.023491	 -0.093865	 -0.207847	 -0.320936	 -0.552471	 -1.070213	 -1.738679	 -3.229971	 -5.619368	-10.116841	 -0.004269	 -0.002969	  0.038144	  0.017184	 -0.036166	  0.028752	  0.038416	 -0.008744	  0.047285	  0.019369	  0.002909	  0.081697	 -0.010081
  1.640000	  0.059006	 -0.101662	 -0.102738	 -0.060400	 -0.128430	 -0.270912	 -0.395082	 -0.731551	 -1.424209	 -2.522312	 -4.460193	 -7.987139	-13.966038	 -0.021632	 -0.005753	  0.097245	 -0.036601	 -0.013025	 -0.056654	 -0.033034	  0.108175	  0.040570	  0.090397	 -0.001077	 -0.000511	 -0.060045
  1.680000	  0.033699	 -0.110257	 -0.059566	 -0.071406	 -0.211909	 -0.278467	 -0.578509	 -1.110290	 -1.789706	 -3.031582	 -5.473534	 -9.653202	-17.207299	 -0.079973	 -0.026879	  0.061691	 -0.032480	  0.021103	 -0.001478	  0.059074	  0.058320	  0.001112	 -0.058660	  0.063848	  0.069959	 -0.045634
  1.720000	  0.033096	  0.042451	 -0.121138	 -0.119498	 -0.176308	 -0.332511	 -0.527631	 -1.103874	 -2.036672	 -3.453408	 -6.093156	-10.834547	-19.199800	  0.037702	  0.024575	 -0.067572	 -0.033010	 -0.001562	 -0.039370	 -0.060507	  0.009352	 -0.005478	  0.050333	 -0.020012	 -0.052741	  0.046975
  1.760000	 -0.070656	 -0.024909	 -0.025132	 -0.156080	 -0.149062	 -0.376830	 -0.657131	 -1.064765	 -1.916611	 -3.609109	 -6.265773	-11.219480	-20.067649	 -0.016265	  0.053719	  0.047679	  0.073443	  0.027829	 -0.026015	 -0.112522	 -0.061929	  0.117933	  0.092865	  0.025157	  0.087791	 -0.045674
  1.800000	 -0.041455	 -0.015907	  0.008550	 -0.175867	 -0.257807	 -0.424944	 -0.583111	 -1.184280	 -1.953963	 -3.429776	 -6.212885	-11.042130	-19.604813	 -0.054847	 -0.083064	  0.046620	  0.106162	 -0.055404	  0.037453	 -0.023489	  0.006154	 -0.004553	 -0.053354	  0.027028	  0.104898	 -0.019956
  1.840000	 -0.025834	 -0.000946	 -0.024635	 -0.093619	 -0.127303	 -0.316936	 -0.567768	 -1.050215	 -1.820803	 -3.187141	 -5.703524	-10.033595	-17.884737	 -0.033578	  0.022635	 -0.058286	  0.020935	 -0.023010	 -0.013066	  0.013434	  0.004606	 -0.017771	 -0.029983	 -0.024555	 -0.041772	  0.075817
  1.880000	  0.062765	  0.016885	 -0.001608	 -0.032382	 -0.086663	 -0.257155	 -0.485912	 -0.915347	 -1.416299	 -2.770060	 -4.911192	 -8.556030	-15.202616	  0.048614	 -0.045276	  0.032930	 -0.049997	  0.015252	  0.026061	  0.097259	  0.091927	  0.025886	  0.033415	  0.082079	  0.006553	  0.038962
  1.920000	  0.032174	 -0.056238	 -0.057853	 -0.049590	 -0.147258	 -0.212605	 -0.340963	 -0.709591	 -1.158961	 -2.055115	 -3.621992	 -6.363838	-11.386077	  0.032655	 -0.041947	 -0.034685	  0.100549	 -0.011101	 -0.036291	  0.007600	  0.018436	  0.013002	  0.114029	  0.002416	  0.006622	  0.004901
  1.960000	 -0.040852	 -0.058014	 -0.048044	 -0.078840	 -0.155317	 -0.134906	 -0.254788	 -0.357383	 -0.659397	 -1.302674	 -2.106132	 -3.826748	 -6.894824	 -0.024585	 -0.082770	  0.115320	  0.015544	 -0.075577	 -0.011313	  0.048454	  0.063962	  0.033851	 -0.070020	  0.085861	 -0.047332	  0.000376
  2.000000	 -0.045402	 -0.012892	  0.016151	 -0.001033	 -0.100808	 -0.050456	 -0.129307	 -0.203732	 -0.242236	 -0.331640	 -0.627277	 -1.094701	 -2.013499	 -0.030087	 -0.033395	  0.029754	  0.003580	  0.058798	  0.079565	 -0.019384	 -0.009380	 -0.010958	 -0.010938	 -0.003426	  0.034346	 -0.010027
  2.040000	  0.042006	  0.003033	  0.014599	 -0.021884	  0.084486	  0.072187	  0.106760	  0.174216	  0.202312	  0.457472	  0.879758	  1.631829	  2.975403	  0.031292	 -0.021269	 -0.017804	 -0.026730	 -0.117102	  0.015821	  0.078659	  0.023751	 -0.047394	  0.025538	  0.057924	 -0.061593	  0.027678
  2.080000	 -0.001901	 -0.044778	  0.018322	 -0.042395	  0.012083	  0.217632	  0.272738	  0.490630	  0.870193	  1.427123	  2.519879	  4.399783	  7.809214	 -0.062940	 -0.080725	 -0.011396	  0.021555	 -0.006302	  0.000162	 -0.046271	  0.026909	 -0.022600	 -0.051151	  0.025331	 -0.041302	 -0.010574
  2.120000	 -0.021770	 -0.021750	 -0.048766	  0.093439	  0.204838	  0.194634	  0.319725	  0.669276	  1.158759	  2.177144	  3.780866	  6.798568	 12.177167	  0.014816	 -0.083788	 -0.104361	 -0.004230	  0.023384	 -0.004502	 -0.029397	  0.000181	  0.048397	 -0.002070	  0.107169	  0.002386	  0.078196
  2.160000	 -0.001959	 -0.025972	  0.021977	  0.084577	  0.156227	  0.233462	  0.516720	  0.924395	  1.605323	  2.796085	  4.955482	  8.853546	 15.792553	 -0.091902	 -0.038820	 -0.020067	 -0.018444	 -0.001934	 -0.021698	  0.028372	  0.093471	 -0.005094	  0.033918	 -0.049305	  0.018776	 -0.020429
  2.200000	  0.111654	 -0.032125	  0.027258	  0.087724	  0.214107	  0.296377	  0.566133	  0.963027	  1.821141	  3.306515	  5.727887	 10.283193	 18.233783	  0.016180	 -0.012234	  0.056923	  0.055106	  0.117358	  0.023988	 -0.050320	 -0.022893	 -0.088962	 -0.019914	 -0.016256	  0.003846	  0.013248
  2.240000	 -0.057538	  0.013404	  0.090165	  0.096463	  0.207121	  0.329995	  0.550230	  1.077913	  2.032486	  3.528546	  6.241696	 11.063164	 19.744226	  0.056231	  0.046966	 -0.055642	 -0.037886	  0.011558	 -0.021545	 -0.079858	 -0.112875	 -0.015825	 -0.023056	  0.027780	 -0.019861	  0.012387
  2.280000	 -0.055205	  0.117978	  0.026314	  0.036765	  0.316022	  0.384039	  0.571015	  1.175942	  2.020911	  3.478155	  6.391857	 11.144036	 19.951087	  0.048744	 -0.015659	  0.030639	  0.037202	 -0.050867	 -0.038027	  0.018644	  0.012264	 -0.040444	  0.007153	  0.001246	 -0.004570	  0.008010
  2.320000	 -0.050506	 -0.010263	  0.041065	  0.129189	  0.174170	  0.334608	  0.567581	  1.000169	  1.843096	  3.403546	  5.906049	 10.578770	 18.838879	 -0.100912	 -0.031094	  0.057059	  0.051447	  0.090778	  0.079608	  0.057300	 -0.022929	 -0.034042	  0.074729	  0.007354	 -0.024900	 -0.033402
  2.360000	  0.084269	  0.001675	 -0.046076	  0.084321	  0.120556	  0.321913	  0.475337	  0.888550	  1.647221	  2.905496	  5.159170	  9.364530	 16.629859	 -0.009065	  0.004220	 -0.033494	 -0.071664	  0.028929	  0.030181	 -0.015712	  0.056579	 -0.014832	  0.045277	 -0.042977	 -0.031948	 -0.052775
  2.400000	 -0.039529	 -0.041104	  0.055832	  0.090471	  0.147574	  0.230253	  0.404317	  0.635612	  1.344848	  2.481688	  4.215726	  7.417604	 13.224933	  0.051133	 -0.106846	 -0.073141	  0.013237	 -0.024086	  0.050085	 -0.026238	 -0.067967	 -0.072126	  0.000051	 -0.079311	  0.072053	  0.054181
  2.440000	 -0.014718	 -0.052473	 -0.012402	  0.063083	  0.101612	  0.270761	  0.237327	  0.495086	  0.941916	  1.584407	  2.896747	  5.210742	  9.204696	 -0.031618	  0.037538	  0.023880	 -0.055216	 -0.016085	  0.107465	 -0.063002	 -0.041907	 -0.027113	 -0.046356	 -0.095448	  0.011285	 -0.008805
  2.480000	  0.077228	  0.024599	  0.048847	  0.032593	  0.111477	  0.039928	  0.179524	  0.239755	  0.410768	  0.717427	  1.457209	  2.496341	  4.481620	  0.086825	 -0.048529	 -0.063193	  0.024467	  0.026536	  0.081484	 -0.068058	 -0.008272	  0.062608	 -0.123566	  0.022097	 -0.033386	  0.012278
  2.520000	 -0.117129	  0.014615	 -0.001768	  0.009975	 -0.063897	  0.002619	 -0.005746	 -0.040872	 -0.030305	 -0.040127	 -0.075958	 -0.352562	 -0.481016	 -0.025548	 -0.056790	 -0.036576	 -0.025656	 -0.012955	 -0.047373	  0.069702	  0.051608	 -0.072371	 -0.008551	 -0.005892	  0.057516	  0.021502
  2.560000	  0.061049	 -0.024081	 -0.090128	 -0.026769	  0.024521	 -0.061088	 -0.160902	 -0.318412	 -0.617583	 -0.951014	 -1.695171	 -3.118197	 -5.427980	 -0.071077	 -0.076436	  0.008042	  0.039704	 -0.021784	  0.018637	  0.040427	 -0.062771	  0.042513	 -0.085044	  0.079201	 -0.040212	 -0.090513
  2.600000	  0.017128	 -0.037342	 -0.016408	 -0.100774	 -0.124491	 -0.171727	 -0.339824	 -0.529658	 -0.935640	 -1.791547	 -3.181345	 -5.707462	-10.126895	 -0.015343	 -0.014640	  0.071891	 -0.064896	 -0.042329	  0.102370	  0.016059	  0.033376	 -0.125384	  0.043615	 -0.006976	  0.065193	  0.002187
  2.640000	 -0.048144	 -0.074592	 -0.141320	 -0.082716	 -0.161716	 -0.283064	 -0.345391	 -0.801725	 -1.536142	 -2.547933	 -4.496229	 -7.877789	-14.056822	  0.012680	 -0.097677	  0.032744	 -0.090227	 -0.021356	 -0.088202	  0.118683	  0.004778	  0.057408	 -0.025268	 -0.031393	  0.011591	 -0.040723
  2.680000	 -0.042394	  0.061394	 -0.076215	 -0.108807	 -0.197437	 -0.323179	 -0.598401	 -0.989132	 -1.781702	 -3.128044	 -5.503744	 -9.606993	-17.146557	  0.000373	 -0.020568	 -0.046065	 -0.031697	  0.014540	  0.002243	 -0.045414	 -0.015176	  0.001421	 -0.025417	 -0.103448	  0.062649	 -0.066538
  2.720000	 -0.014783	 -0.022151	 -0.077371	 -0.082360	 -0.211869	 -0.311454	 -0.500588	 -1.083216	 -1.910775	 -3.409734	 -6.030460	-10.829631	-19.273823	 -0.012045	 -0.008984	 -0.060849	 -0.067324	 -0.022939	  0.054212	  0.018824	  0.073516	  0.029045	  0.060125	  0.110366	  0.049235	  0.017094
  2.760000	 -0.052350	 -0.043527	 -0.068616	 -0.172824	 -0.294360	 -0.404108	 -0.639670	 -1.121933	 -2.037390	 -3.591303	 -6.215525	-11.278299	-19.986064	 -0.015512	  0.072147	 -0.021279	 -0.053188	  0.068882	 -0.069990	 -0.128412	  0.016038	 -0.014291	  0.032102	 -0.020650	  0.071501	  0.043302
  2.800000	 -0.042327	 -0.045820	 -0.061334	 -0.002987	 -0.152611	 -0.333967	 -0.612321	 -1.042380	 -1.999128	 -3.520191	 -6.153751	-11.022827	-19.624424	 -0.018272	  0.048631	  0.068569	 -0.037635	 -0.017887	  0.038020	 -0.106321	 -0.034513	 -0.012874	 -0.036217	 -0.032494	  0.004825	  0.009132
  2.840000	 -0.123519	 -0.014053	 -0.104936	 -0.102562	 -0.126788	 -0.330043	 -0.652468	 -1.024083	 -1.858341	 -3.218661	 -5.662827	 -9.998895	-17.906447	  0.024780	  0.037889	 -0.026645	  0.007840	 -0.055854	  0.053496	  0.017327	 -0.015922	 -0.064526	  0.028007	  0.044400	  0.043388	 -0.027426
  2.880000	  0.018102	  0.015997	 -0.051871	 -0.097074	 -0.136567	 -0.335994	 -0.496224	 -0.895335	 -1.504885	 -2.669525	 -4.754116	 -8.559936	-15.107169	 -0.019010	 -0.082487	 -0.006693	  0.049612	 -0.020882	 -0.000409	 -0.006956	  0.110948	 -0.036356	  0.010432	 -0.030673	 -0.011624	 -0.023057
  2.920000	 -0.079897	 -0.025586	 -0.101044	 -0.039566	 -0.087121	 -0.227301	 -0.330824	 -0.607852	 -1.121222	 -1.984263	 -3.638477	 -6.295533	-11.388351	 -0.026907	  0.014126	 -0.005355	  0.000567	 -0.055101	 -0.042019	  0.007702	 -0.049810	 -0.006771	 -0.092300	  0.005527	 -0.090217	 -0.055796
  2.960000	 -0.037130	 -0.037094	 -0.030349	  0.013093	 -0.090533	 -0.127475	 -0.216634	 -0.296402	 -0.683350	 -1.198892	 -2.104287	 -3.926002	 -6.825887	  0.008115	 -0.017964	  0.012081	  0.027846	  0.067022	  0.049410	 -0.048253	  0.014086	 -0.052925	  0.066144	  0.002775	  0.016211	 -0.012921
